id,lecture_id,question,time,created_at,updated_at,hide,question_type,quiz_type,group_id,course_id,start_time,end_time,inclass,graded,display_text,intro,self,in_group,discussion,xcoor,ycoor,height,width
88467,55462,"<p class=""medium-editor-p"">QE3.26.2</p>",53.893662,2020-01-20 11:30:15,2020-01-20 11:30:22,true,OCQ,survey,17151,4363,53.893662,53.893662,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88416,55462,"<p class=""medium-editor-p"">QE3.1.1</p>",4.943631,2020-01-20 11:11:06,2020-01-20 11:11:21,true,OCQ,survey,17151,4363,4.943631,4.943631,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88417,55462,"<p class=""medium-editor-p"">QE3.1.2</p>",5.756227,2020-01-20 11:12:42,2020-01-20 11:12:52,true,OCQ,survey,17151,4363,5.756227,5.756227,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88418,55462,"<p class=""medium-editor-p"">QE3.2.1</p>",7.159771,2020-01-20 11:13:09,2020-01-20 11:13:15,true,OCQ,survey,17151,4363,7.159771,7.159771,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88419,55462,"<p class=""medium-editor-p"">QE3.2.2</p>",7.796342,2020-01-20 11:13:40,2020-01-20 11:13:47,true,OCQ,survey,17151,4363,7.796342,7.796342,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88421,55462,"<p class=""medium-editor-p"">QE3.3.2</p>",10.239005,2020-01-20 11:14:28,2020-01-20 11:14:34,true,OCQ,survey,17151,4363,10.239005,10.239005,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88449,55462,"<p class=""medium-editor-p"">QE3.17.2</p>",36.554171,2020-01-20 11:23:10,2020-01-20 11:23:17,true,OCQ,survey,17151,4363,36.554171,36.554171,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88460,55462,"<p class=""medium-editor-p"">QE3.23.1</p>",47.04622,2020-01-20 11:28:04,2020-01-20 11:28:11,true,OCQ,survey,17151,4363,47.04622,47.04622,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88461,55462,"<p class=""medium-editor-p"">QE3.23.2</p>",47.609446,2020-01-20 11:28:19,2020-01-20 11:28:25,true,OCQ,survey,17151,4363,47.609446,47.609446,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88423,55462,"<p class=""medium-editor-p"">QE3.4.2</p>",11.63655,2020-01-20 11:15:06,2020-01-20 11:15:14,true,OCQ,survey,17151,4363,11.63655,11.63655,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88425,55462,"<p class=""medium-editor-p"">QE3.5.2</p>",13.894761,2020-01-20 11:15:44,2020-01-20 11:15:51,true,OCQ,survey,17151,4363,13.894761,13.894761,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88426,55462,"<p class=""medium-editor-p"">QE3.6.1</p>",14.939849,2020-01-20 11:16:08,2020-01-20 11:16:15,true,OCQ,survey,17151,4363,14.939849,14.939849,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88432,55462,"<p class=""medium-editor-p"">QE3.9.1</p>",20.652454,2020-01-20 11:17:55,2020-01-20 11:18:02,true,OCQ,survey,17151,4363,20.652454,20.652454,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88435,55462,"<p class=""medium-editor-p"">QE3.10.2</p>",23.248246,2020-01-20 11:18:48,2020-01-20 11:18:55,true,OCQ,survey,17151,4363,23.248246,23.248246,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88444,55462,"<p class=""medium-editor-p"">QE3.15.1</p>",32.010254,2020-01-20 11:21:31,2020-01-20 11:21:38,true,OCQ,survey,17151,4363,32.010254,32.010254,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88452,55462,"<p class=""medium-editor-p"">QE3.19.1</p>",39.602056,2020-01-20 11:24:18,2020-01-20 11:24:27,true,OCQ,survey,17151,4363,39.602056,39.602056,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88455,55462,"<p class=""medium-editor-p"">QE3.20.2</p>",42.304852,2020-01-20 11:25:21,2020-01-20 11:25:27,true,OCQ,survey,17151,4363,42.304852,42.304852,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88466,55462,"<p class=""medium-editor-p"">QE3.26.1</p>",53.067875,2020-01-20 11:29:55,2020-01-20 11:30:03,true,OCQ,survey,17151,4363,53.067875,53.067875,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88427,55462,"<p class=""medium-editor-p"">QE3.6.2</p>",15.688533,2020-01-20 11:16:24,2020-01-20 11:16:30,true,OCQ,survey,17151,4363,15.688533,15.688533,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88428,55462,"<p class=""medium-editor-p"">QE3.7.1</p>",16.799115,2020-01-20 11:16:42,2020-01-20 11:16:48,true,OCQ,survey,17151,4363,16.799115,16.799115,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88429,55462,"<p class=""medium-editor-p"">QE3.7.2</p>",17.656772,2020-01-20 11:17:02,2020-01-20 11:17:08,true,OCQ,survey,17151,4363,17.656772,17.656772,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88430,55462,"<p class=""medium-editor-p"">QE3.8.1</p>",18.843478,2020-01-20 11:17:21,2020-01-20 11:17:28,true,OCQ,survey,17151,4363,18.843478,18.843478,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88431,55462,"<p class=""medium-editor-p"">QE3.8.2</p>",19.385776,2020-01-20 11:17:39,2020-01-20 11:17:45,true,OCQ,survey,17151,4363,19.385776,19.385776,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88433,55462,"<p class=""medium-editor-p"">QE3.9.2</p>",21.401924,2020-01-20 11:18:11,2020-01-20 11:18:17,true,OCQ,survey,17151,4363,21.401924,21.401924,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88434,55462,"<p class=""medium-editor-p"">QE3.10.1</p>",22.56472,2020-01-20 11:18:31,2020-01-20 11:18:38,true,OCQ,survey,17151,4363,22.56472,22.56472,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
